k,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
k5,7.63,1.58,0.37,0.03,0.41,0.1
k8,12.08,3.54,0.55,0.14,0.32,0.05
k16,21.47,2.84,0.6,0.04,0.29,0.07
