threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,10,223.0,3.868845689216225,0.9291666666666668,0.016120190371734268,1.0,0.0
0.1,10,150.3,23.78082530974088,0.8747208500403378,0.033697352465550306,1.0,0.0
0.15,10,114.3,35.15887806026319,0.5785227272727272,0.12485341484469648,0.9764705882352942,0.024657402553457945
0.2,10,107.7,32.59364649286271,0.5459462444380704,0.1300507166316804,0.9411764705882353,0.04551687719342975
0.24,10,7.1,2.382180291863515,0.2519977703455964,0.09212137446769263,0.9117647058823529,0.06429161720958383
0.25,10,6.1,2.2193953468694363,0.21535777947542653,0.09011903821959662,0.8941176470588236,0.07026570992744524
0.27,10,4.6,1.8781085169929883,0.1020798319327731,0.06790781838172767,0.8235294117647058,0.08904275087929373
0.3,10,5.0,2.1147050426519103,0.041666666666666664,0.04425098474935327,0.7352941176470589,0.10101613850540714
0.35,10,6.0,2.3433664152573654,0.0,0.0,0.6470588235294118,0.11084893892176645
0.4,10,7.0,2.499528684301031,0.0,0.0,0.588235294117647,0.11511626483057878
0.45,10,8.1,2.8630712839845915,0.0,0.0,0.5235294117647059,0.12541350548142427
0.5,10,9.8,3.124263635364862,0.0,0.0,0.4235294117647058,0.12445472083251216
0.55,10,10.6,3.1585700173582594,0.0,0.0,0.3764705882352941,0.11549136266466146
0.6,10,11.7,3.3348836860075344,0.0,0.0,0.3117647058823529,0.10599205191512727
0.65,10,14.4,3.6964386669900016,0.0,0.0,0.15294117647058825,0.07948194369937578
0.7,10,17.0,3.7836903034355642,0.0,0.0,0.0,0.0
0.75,10,17.0,3.9533211035467066,0.0,0.0,0.0,0.0
0.8,10,17.0,4.01211266642003,0.0,0.0,0.0,0.0
0.85,10,17.0,3.9874271874951623,0.0,0.0,0.0,0.0
0.9,10,17.0,3.8537101710017168,0.0,0.0,0.0,0.0
0.95,10,17.0,4.119496237314613,0.0,0.0,0.0,0.0
