,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,0.13065386,0.09922951,0.10424164,0.10910351,0.07403882,0.12100083,0.18413804,0.67348033,0.1461877,0.06463378,0.102081984,0.103979506,0.09440108,0.09627205,0.12786682
1,0.093207546,0.0,0.11593006,0.1326635,0.10108052,0.078956,0.115643434,0.12874849,0.12125933,0.5532868,0.09108141,0.094321415,0.10524169,0.094516195,0.10547118,0.4338948
2,0.107637465,0.08727602,0.0,0.13663703,0.6368465,0.09503238,0.16919124,0.083888315,0.10240876,0.11019774,0.09859241,0.14418852,0.64018655,0.16571377,0.12778261,0.14288822
3,0.108117506,0.107422024,0.12953718,0.0,0.1013385,0.11665507,0.11846517,0.08543576,0.09533959,0.111093104,0.19225669,0.12696864,0.15727232,0.11121955,0.13707964,0.109823935
4,0.15318127,0.122614436,0.09889373,0.076467484,0.0,0.14563726,0.13302389,0.095344536,0.122440755,0.07808151,0.11066881,0.34984347,0.33483735,0.11475461,0.12063835,0.12862614
5,0.12689236,0.09407713,0.121513024,0.08990511,0.094530955,0.0,0.12304183,0.11472265,0.10832691,0.09558077,0.095305525,0.11237256,0.12247087,0.42837286,0.14369269,0.12025398
6,0.20577018,0.10275979,0.09340737,0.17189871,0.1467398,0.10053529,0.0,0.09945321,0.11798934,0.12660143,0.123943985,0.10638388,0.11887606,0.08160439,0.14211372,0.11481832
7,0.12686138,0.11413937,0.101769365,0.15681596,0.10172086,0.10250412,0.10627439,0.0,0.12666488,0.115399405,0.10735527,0.12257853,0.12311799,0.14018892,0.13365205,0.14913069
8,0.110748924,0.66663104,0.084165365,0.13108061,0.14225605,0.102411084,0.09924479,0.11174284,0.0,0.11972723,0.12751237,0.10775321,0.11619984,0.11571222,0.10130068,0.16614299
9,0.117571235,0.1375168,0.5056269,0.11287685,0.14627168,0.1251992,0.13128474,0.11142284,0.11413813,0.0,0.089079075,0.1270598,0.11558857,0.08524648,0.10331008,0.26483154
10,0.12410435,0.11478079,0.12008427,0.099101864,0.57441527,0.099175684,0.12720503,0.10320312,0.10064166,0.11402359,0.0,0.110429674,0.11243059,0.088260464,0.12282,0.10695345
11,0.08387586,0.10398101,0.11545204,0.10217288,0.123984925,0.61513054,0.1482346,0.11752446,0.121305905,0.11112993,0.092896126,0.0,0.14404288,0.12537943,0.12050141,0.09778075
12,0.08973724,0.09601201,0.12501934,0.2965284,0.15005824,0.110469066,0.5993835,0.11804718,0.123348445,0.12227249,0.10771934,0.12033177,0.0,0.15956567,0.13466692,0.111141734
13,0.0929875,0.11366784,0.12524334,0.093266465,0.13255998,0.10374625,0.10355695,0.47783867,0.1162119,0.076134406,0.11857631,0.09294568,0.0897941,0.0,0.12923726,0.12404119
14,0.17983624,0.12037853,0.12003309,0.109470166,0.109084904,0.11146753,0.099290706,0.59643453,0.116264984,0.07971049,0.11485479,0.11871531,0.10912044,0.09613127,0.0,0.11813399
15,0.10865996,0.10163489,0.10447174,0.19119465,0.13209209,0.09665863,0.11820426,0.09524497,0.12784158,0.20739625,0.1010383,0.14646195,0.122514315,0.09938941,0.17658103,0.0
