,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1e-08,0.14011309,0.15375818,0.1441667,0.12387708,0.113253154,0.08279634,0.21887814,1.240403,0.15567312,0.11217457,0.10195831,0.13428757,0.11420919,0.11091038,0.096931554
1,0.12093072,1e-08,0.17238507,0.12318104,0.116221726,0.09771783,0.11536023,0.16629586,0.0985757,0.85640454,0.13324124,0.11976411,0.1259129,0.11027166,0.11702822,0.37552518
2,0.10173386,0.17087908,1e-08,0.13653214,1.2826931,0.123663165,0.19361281,0.13676807,0.13082658,0.1435584,0.08257597,0.116059855,1.2214732,0.14871402,0.13640659,0.14566045
3,0.11663423,0.10214174,0.12974651,1e-08,0.11765936,0.15896623,0.09217476,0.14152583,0.0829604,0.140954,0.2694953,0.12655774,0.16424236,0.09777129,0.12759064,0.13503169
4,0.12561633,0.13573562,0.108984485,0.12304414,1e-08,0.12904602,0.10218457,0.118434936,0.1413762,0.11264825,0.16247381,0.76368946,0.24807213,0.14883535,0.11161866,0.15507956
5,0.13869835,0.107971266,0.13906732,0.107385844,0.098889865,1e-08,0.13163391,0.10305616,0.12885463,0.13923287,0.12182069,0.12447458,0.14333068,0.82054543,0.14759915,0.12230617
6,0.17172204,0.102606475,0.12602231,0.18537953,0.1310959,0.16552421,1e-08,0.11981108,0.11717995,0.13897635,0.10302168,0.14486006,0.10978659,0.097338915,0.18889089,0.16166659
7,0.19351763,0.12895782,0.10461504,0.17190821,0.084787026,0.11420767,0.13284658,1e-08,0.106386736,0.10818317,0.13615541,0.19417639,0.17363796,0.11478125,0.19377774,0.117794275
8,0.08905107,1.496036,0.17691584,0.15613523,0.1208206,0.09835175,0.09301805,0.14902423,1e-08,0.13188545,0.15011825,0.10933134,0.109307885,0.11361321,0.13854542,0.16395418
9,0.10728898,0.17948247,0.57004124,0.15445492,0.14894812,0.11511714,0.17858367,0.113621354,0.12664782,1e-08,0.11087351,0.09400963,0.13175341,0.112683326,0.15087841,0.30196556
10,0.1477413,0.09502719,0.13097852,0.11660785,1.0953776,0.09885316,0.10854943,0.14770845,0.115002476,0.18076453,1e-08,0.09899318,0.10154907,0.12509851,0.14238933,0.10767566
11,0.13598363,0.13399525,0.15100966,0.11172346,0.11134974,1.1531909,0.16130958,0.14858404,0.12888828,0.12547697,0.10456914,1e-08,0.1472406,0.09850835,0.1042483,0.109928675
12,0.105322875,0.13402967,0.15000719,0.31804222,0.17303662,0.16859584,0.9817002,0.09881153,0.115404576,0.11768051,0.10371137,0.118745565,1e-08,0.16565892,0.15362228,0.119480826
13,0.11877592,0.14964063,0.10904889,0.18289828,0.14153245,0.091726474,0.15889764,0.5415767,0.14340515,0.15953122,0.12185609,0.13274312,0.10509024,1e-08,0.14759271,0.12643224
14,0.15459648,0.10358595,0.13847402,0.09910428,0.102125525,0.1498951,0.10369928,0.9026566,0.10815188,0.08673024,0.12610894,0.16519846,0.11498921,0.09213847,1e-08,0.13852516
15,0.14935277,0.15369083,0.10966964,0.22616926,0.11847941,0.11487971,0.13094549,0.14935082,0.11915442,0.1971106,0.13199364,0.1103531,0.1155958,0.08143034,0.14247537,1e-08
