threshold,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,219.0,0.0,0.9125,0.0,1.0,0.0
0.1,219.0,0.0,0.9125,0.0,1.0,0.0
0.15,219.0,0.0,0.9125,0.0,1.0,0.0
0.2,219.0,0.0,0.9125,0.0,1.0,0.0
0.25,219.0,0.0,0.9125,0.0,1.0,0.0
0.3,219.0,0.0,0.9125,0.0,1.0,0.0
0.35,219.0,0.0,0.9125,0.0,1.0,0.0
0.4,218.4,1.3416407864998738,0.9122784810126582,0.0004953315140031207,1.0,0.0
0.45,216.2,4.764451699828638,0.9136349832548107,0.003193285530783169,0.9714285714285715,0.063887656499994
0.5,125.0,22.034064536530703,0.9238719241280989,0.013928888790236618,0.44761904761904764,0.1286595817724409
0.55,23.2,3.03315017762062,0.3464285714285714,0.47440886955262973,0.019047619047619046,0.026082026547865053
0.6,21.2,0.4472135954999579,0.13333333333333333,0.29814239699997197,0.009523809523809523,0.021295885499997995
0.65,21.0,0.0,0.0,0.0,0.0,0.0
0.7,21.0,0.0,0.0,0.0,0.0,0.0
0.75,21.0,0.0,0.0,0.0,0.0,0.0
0.8,21.0,0.0,0.0,0.0,0.0,0.0
0.85,21.0,0.0,0.0,0.0,0.0,0.0
0.9,21.0,0.0,0.0,0.0,0.0,0.0
0.95,21.0,0.0,0.0,0.0,0.0,0.0
