cluster_id
3
4
1
2
3
6
5
7
3
4
1
3
4
5
4
5
1
3
1
4
2
6
4
5
0
2
2
5
5
7
3
6
2
5
2
6
1
3
6
7
3
4
2
4
0
1
3
6
0
3
1
4
0
3
6
7
2
4
1
2
0
1
0
3
6
7
1
4
2
4
2
6
0
1
0
2
1
2
0
2
2
5
5
7
0
1
2
3
4
0
1
2
3
4
0
1
2
3
4
0
