cluster_id
2
12
4
14
7
2
12
6
14
7
3
4
11
10
4
11
5
13
11
7
5
0
6
1
15
9
2
3
4
12
6
14
1
7
15
3
10
9
2
11
5
13
4
7
2
4
12
6
3
14
11
7
5
13
7
10
4
11
5
13
7
0
1
15
9
8
3
4
15
10
11
1
2
12
15
11
5
13
7
4
11
6
14
7
14
1
5
7
15
13
3
10
11
4
5
13
7
4
9
2
