,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,0.21663791,0.21058302,0.214016,0.2203725,0.20368421,0.20203613,0.24189112,0.5989886,0.23137827,0.19976681,0.20541435,0.20680027,0.20318878,0.21078195,0.22485249
1,0.20601748,0.0,0.22421873,0.21082568,0.20994277,0.20707336,0.21026601,0.2105465,0.20301513,0.3099809,0.2026253,0.20677286,0.20502733,0.19823381,0.20554876,0.2686932
2,0.20878763,0.21149924,0.0,0.2164081,0.571402,0.2053741,0.2226163,0.20493504,0.2015962,0.21755703,0.20341215,0.23019965,0.43717998,0.23030007,0.20902035,0.2206206
3,0.20451476,0.21761513,0.21143168,0.0,0.21329588,0.2057012,0.21237747,0.20106672,0.2027024,0.21934478,0.25592855,0.20172727,0.22863497,0.20087332,0.19811863,0.21331008
4,0.20555046,0.20933214,0.21445605,0.20924821,0.0,0.21275252,0.20564806,0.20434235,0.20552878,0.20765123,0.20332806,0.296387,0.33888996,0.20936924,0.2035025,0.21769856
5,0.20508885,0.20173036,0.2136954,0.20360456,0.2038269,0.0,0.21360345,0.2125832,0.21506873,0.20009515,0.19860902,0.20804606,0.20749825,0.3085779,0.20931575,0.21723375
6,0.22562075,0.20349142,0.21458727,0.22776917,0.21856667,0.2311476,0.0,0.2155213,0.20629933,0.21507972,0.20121631,0.22961225,0.20215645,0.19986905,0.23199259,0.22506349
7,0.21913633,0.20769104,0.20685057,0.22896145,0.21029821,0.21409465,0.21257755,0.0,0.20099424,0.20806606,0.19713245,0.22115241,0.21073973,0.21141191,0.23073451,0.20107205
8,0.20779982,0.458579,0.21527246,0.21133704,0.21953027,0.20221937,0.20157655,0.22228241,0.0,0.26214018,0.19950505,0.20216838,0.20096633,0.2036546,0.20513214,0.2728626
9,0.20284088,0.23268647,0.33677658,0.21687974,0.23152941,0.20650497,0.22721316,0.21051677,0.19950967,0.0,0.21388613,0.2146236,0.2206776,0.20431352,0.21035942,0.2681967
10,0.23370929,0.20794672,0.19968484,0.20291914,0.45145786,0.20534843,0.20499054,0.21374935,0.20699929,0.20552094,0.0,0.20023802,0.20298739,0.20614791,0.20609221,0.20504768
11,0.21357623,0.2125386,0.2314989,0.20449516,0.21595025,0.42407894,0.21755484,0.21263027,0.20680165,0.2080168,0.19898027,0.0,0.22355734,0.22509176,0.20284045,0.20141253
12,0.2046319,0.19822854,0.20770736,0.2610662,0.2300597,0.21091889,0.36116567,0.21056847,0.20255747,0.22085774,0.20134972,0.22228737,0.0,0.2144628,0.22018616,0.21884868
13,0.21775326,0.19990173,0.20647919,0.20901823,0.20869103,0.20466205,0.22374247,0.27919835,0.20120569,0.2048054,0.19630723,0.19797702,0.21384172,0.0,0.2161274,0.20807375
14,0.25246018,0.20281091,0.2123521,0.20263626,0.21736898,0.23912644,0.20842388,0.37803212,0.22401252,0.21241198,0.21070352,0.22581457,0.20213225,0.20521307,0.0,0.20453706
15,0.21044348,0.20266555,0.2205402,0.24470606,0.21210289,0.21058226,0.22472602,0.21687514,0.21073097,0.24216156,0.20614323,0.22300884,0.20381872,0.20294827,0.21809302,0.0
