threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,5,42.0,0.0,0.75,0.0,1.0,0.0
0.1,5,42.0,0.0,0.75,0.0,1.0,0.0
0.15000000000000002,5,42.0,0.0,0.75,0.0,1.0,0.0
0.2,5,7.8,2.16794833886788,0.3526315789473684,0.06509871283712276,1.0,0.0
0.25,5,0.0,0.0,0.0,0.0,1.0,0.0
0.3,5,0.0,0.0,0.0,0.0,1.0,0.0
0.35000000000000003,5,0.8,0.44721359549995804,0.0,0.0,0.9428571428571428,0.03194382824999698
0.4,5,7.4,0.5477225575051662,0.0,0.0,0.4714285714285714,0.03912303982179759
0.45,5,12.0,0.0,0.0,0.0,0.14285714285714285,0.0
0.5,5,14.0,0.0,0.0,0.0,0.0,0.0
0.55,5,14.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,5,14.0,0.0,0.0,0.0,0.0,0.0
0.6500000000000001,5,14.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,5,14.0,0.0,0.0,0.0,0.0,0.0
0.7500000000000001,5,14.0,0.0,0.0,0.0,0.0,0.0
0.8,5,14.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,5,14.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000001,5,14.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,5,14.0,0.0,0.0,0.0,0.0,0.0
