threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,5,12.0,0.0,0.6,0.0,1.0,0.0
0.1,5,10.6,1.51657508881031,0.5675541795665635,0.035864170498842864,1.0,0.0
0.15000000000000002,5,4.2,0.44721359549995787,0.3435897435897436,0.022934030538459396,1.0,0.0
0.2,5,0.4,0.5477225575051662,0.04444444444444444,0.06085806194501846,1.0,0.0
0.25,5,0.2,0.44721359549995804,0.0,0.0,0.975,0.055901699437494734
0.3,5,0.6,0.8944271909999159,0.0,0.0,0.925,0.11180339887498948
0.35000000000000003,5,1.6,0.8944271909999159,0.0,0.0,0.8,0.11180339887498948
0.4,5,2.8,1.3038404810405297,0.0,0.0,0.65,0.16298006013006622
0.45,5,4.2,2.1679483388678804,0.0,0.0,0.475,0.27099354235848505
0.5,5,5.8,1.9235384061671346,0.0,0.0,0.275,0.24044230077089182
0.55,5,6.6,1.1401754250991378,0.0,0.0,0.175,0.14252192813739226
0.6000000000000001,5,7.8,0.44721359549995787,0.0,0.0,0.025,0.055901699437494755
0.6500000000000001,5,8.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,5,8.0,0.0,0.0,0.0,0.0,0.0
0.7500000000000001,5,8.0,0.0,0.0,0.0,0.0,0.0
0.8,5,8.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,5,8.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000001,5,8.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,5,8.0,0.0,0.0,0.0,0.0,0.0
