threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,5,219.0,0.0,0.9125,0.0,1.0,0.0
0.1,5,140.6,2.073644135332772,0.8700321273358471,0.0016928412507245798,1.0,0.0
0.15000000000000002,5,16.6,0.8944271909999159,0.44122807017543864,0.013730241967103967,1.0,0.0
0.2,5,6.0,0.0,0.2,0.0,0.9523809523809523,0.0
0.25,5,4.8,1.0954451150103321,0.11428571428571428,0.026082026547865053,0.8857142857142856,0.026082026547865084
0.3,5,4.0,0.0,0.05263157894736842,0.0,0.8571428571428571,0.0
0.35000000000000003,5,4.6,1.1401754250991378,0.011764705882352941,0.026306682088232818,0.7904761904761906,0.042591770999996
0.4,5,5.8,0.8366600265340756,0.0,0.0,0.7238095238095238,0.03984095364447978
0.45,5,7.8,0.44721359549995787,0.0,0.0,0.6285714285714286,0.021295885499997967
0.5,5,10.0,0.0,0.0,0.0,0.5238095238095238,0.0
0.55,5,12.4,0.5477225575051662,0.0,0.0,0.4095238095238095,0.026082026547865053
0.6000000000000001,5,15.4,0.5477225575051662,0.0,0.0,0.2666666666666667,0.026082026547865053
0.6500000000000001,5,16.6,0.5477225575051661,0.0,0.0,0.20952380952380953,0.02608202654786505
0.7000000000000001,5,19.2,0.4472135954999579,0.0,0.0,0.08571428571428572,0.021295885499997995
0.7500000000000001,5,21.0,0.0,0.0,0.0,0.0,0.0
0.8,5,21.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,5,21.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000001,5,21.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,5,21.0,0.0,0.0,0.0,0.0,0.0
