threshold,n_runs,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,5,219.0,0.0,0.9125,0.0,1.0,0.0
0.1,5,55.0,1.224744871391589,0.7236275303643724,0.0043968245087550786,1.0,0.0
0.15000000000000002,5,11.8,1.0954451150103321,0.35919117647058824,0.021143701668397942,1.0,0.0
0.2,5,5.2,0.4472135954999579,0.17333333333333334,0.014907119849998608,0.9523809523809523,0.0
0.25,5,2.4,0.5477225575051661,0.06493506493506493,0.023710933225331868,0.9523809523809523,0.0
0.3,5,2.6,0.5477225575051661,0.04904761904761905,0.0013041013273932555,0.9238095238095239,0.026082026547865022
0.35000000000000003,5,4.0,0.0,0.05263157894736842,0.0,0.8571428571428571,0.0
0.4,5,3.0,0.0,0.0,0.0,0.8571428571428571,0.0
0.45,5,3.4,0.5477225575051661,0.0,0.0,0.8380952380952381,0.026082026547865022
0.5,5,5.2,0.44721359549995787,0.0,0.0,0.7523809523809524,0.021295885499997967
0.55,5,5.8,0.8366600265340756,0.0,0.0,0.7238095238095238,0.03984095364447978
0.6000000000000001,5,8.2,0.8366600265340756,0.0,0.0,0.6095238095238095,0.039840953644479794
0.6500000000000001,5,12.8,1.0954451150103324,0.0,0.0,0.3904761904761905,0.0521640530957301
0.7000000000000001,5,16.6,0.5477225575051661,0.0,0.0,0.2095238095238095,0.026082026547865053
0.7500000000000001,5,20.4,0.5477225575051661,0.0,0.0,0.02857142857142857,0.026082026547865053
0.8,5,21.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,5,21.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000001,5,21.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,5,21.0,0.0,0.0,0.0,0.0,0.0
