tau,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,5.8,3.3466401061363023,0.37841573631047315,0.1429978710592616,0.9,0.10458250331675945
0.1,6.2,3.7013511046643495,0.39212121212121215,0.1541395607339226,0.85,0.10458250331675945
0.15,7.2,3.2710854467592254,0.42393939393939395,0.26664169993317005,0.45,0.2091650066335189
0.2,7.4,3.286335345030997,0.45,0.27386127875258304,0.4,0.22360679774997896
0.25,6.0,1.0,0.08,0.17888543819998318,0.3,0.11180339887498948
0.3,6.4,1.3416407864998738,0.1,0.223606797749979,0.25,0.125
0.35,7.8,0.44721359549995787,0.1,0.223606797749979,0.05,0.06846531968814577
0.4,7.8,0.44721359549995787,0.1,0.223606797749979,0.05,0.06846531968814577
0.45,7.6,0.5477225575051661,0.0,0.0,0.05,0.06846531968814577
0.5,7.6,0.5477225575051661,0.0,0.0,0.05,0.06846531968814577
0.55,7.8,0.4472135954999579,0.0,0.0,0.025,0.05590169943749475
0.6,7.8,0.4472135954999579,0.0,0.0,0.025,0.05590169943749475
0.65,8.0,0.0,0.0,0.0,0.0,0.0
0.7,8.0,0.0,0.0,0.0,0.0,0.0
0.75,8.0,0.0,0.0,0.0,0.0,0.0
0.8,8.0,0.0,0.0,0.0,0.0,0.0
0.85,8.0,0.0,0.0,0.0,0.0,0.0
0.9,8.0,0.0,0.0,0.0,0.0,0.0
0.95,8.0,0.0,0.0,0.0,0.0,0.0
