tau,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,30.0,16.294170736800325,0.7524705882352941,0.42481960348097175,0.10588235294117647,0.15784009252939693
0.1,30.0,16.294170736800325,0.7524705882352941,0.42481960348097175,0.10588235294117647,0.15784009252939693
0.15,22.6,8.203657720797475,0.5503703703703703,0.5052508917843035,0.058823529411764705,0.10188534162169866
0.2,22.6,8.203657720797475,0.5503703703703703,0.5052508917843035,0.058823529411764705,0.10188534162169866
0.25,20.8,6.496152707564686,0.38823529411764707,0.5320197202162359,0.011764705882352941,0.026306682088232818
0.3,20.8,6.496152707564686,0.38823529411764707,0.5320197202162359,0.011764705882352941,0.026306682088232818
0.35,19.6,5.813776741499453,0.18666666666666668,0.4173993557999608,0.011764705882352941,0.026306682088232818
0.4,19.6,5.813776741499453,0.18666666666666668,0.4173993557999608,0.011764705882352941,0.026306682088232818
0.45,19.6,5.813776741499453,0.18666666666666668,0.4173993557999608,0.011764705882352941,0.026306682088232818
0.5,19.6,5.813776741499453,0.18666666666666668,0.4173993557999608,0.011764705882352941,0.026306682088232818
0.55,17.0,0.0,0.0,0.0,0.0,0.0
0.6,17.0,0.0,0.0,0.0,0.0,0.0
0.65,17.0,0.0,0.0,0.0,0.0,0.0
0.7,17.0,0.0,0.0,0.0,0.0,0.0
0.75,17.0,0.0,0.0,0.0,0.0,0.0
0.8,17.0,0.0,0.0,0.0,0.0,0.0
0.85,17.0,0.0,0.0,0.0,0.0,0.0
0.9,17.0,0.0,0.0,0.0,0.0,0.0
0.95,17.0,0.0,0.0,0.0,0.0,0.0
