tau,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,26.2,7.854934754662192,0.5608086736773458,0.31422547952617824,0.6428571428571429,0.39769745448785876
0.1,26.2,7.854934754662192,0.5608086736773458,0.31422547952617824,0.6428571428571429,0.39769745448785876
0.15,15.6,2.8809720581775866,0.44275446775446775,0.27275120360565897,0.3142857142857142,0.22924009336973164
0.2,15.6,2.8809720581775866,0.44275446775446775,0.27275120360565897,0.3142857142857142,0.22924009336973164
0.25,14.2,1.4832396974191326,0.3611111111111111,0.34246744460938755,0.12857142857142856,0.10594569267279517
0.3,14.2,1.4832396974191326,0.3611111111111111,0.34246744460938755,0.12857142857142856,0.10594569267279517
0.35,13.4,0.8944271909999159,0.0,0.0,0.04285714285714286,0.06388765649999399
0.4,13.4,0.8944271909999159,0.0,0.0,0.04285714285714286,0.06388765649999399
0.45,13.8,0.4472135954999579,0.0,0.0,0.014285714285714285,0.031943828249996996
0.5,13.8,0.4472135954999579,0.0,0.0,0.014285714285714285,0.031943828249996996
0.55,14.0,0.0,0.0,0.0,0.0,0.0
0.6,14.0,0.0,0.0,0.0,0.0,0.0
0.65,14.0,0.0,0.0,0.0,0.0,0.0
0.7,14.0,0.0,0.0,0.0,0.0,0.0
0.75,14.0,0.0,0.0,0.0,0.0,0.0
0.8,14.0,0.0,0.0,0.0,0.0,0.0
0.85,14.0,0.0,0.0,0.0,0.0,0.0
0.9,14.0,0.0,0.0,0.0,0.0,0.0
0.95,14.0,0.0,0.0,0.0,0.0,0.0
