tau,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,8.6,4.560701700396552,0.47333333333333333,0.206618871414717,1.0,0.0
0.1,8.6,4.560701700396552,0.47555555555555556,0.2083740700913138,0.975,0.055901699437494734
0.15,7.8,2.7748873851023217,0.43344988344988344,0.2441030827455799,0.65,0.05590169943749474
0.2,8.0,2.8284271247461903,0.4477355977355977,0.25096516301261934,0.6,0.13693063937629152
0.25,7.8,1.4832396974191326,0.4,0.25276251480171835,0.3,0.06846531968814576
0.3,7.8,1.4832396974191326,0.3333333333333333,0.31180478223116176,0.275,0.10458250331675945
0.35,7.6,0.5477225575051662,0.16666666666666666,0.23570226039551587,0.1,0.10458250331675945
0.4,7.6,0.5477225575051662,0.16666666666666666,0.23570226039551587,0.1,0.10458250331675945
0.45,7.8,0.4472135954999579,0.0,0.0,0.025,0.05590169943749475
0.5,7.8,0.4472135954999579,0.0,0.0,0.025,0.05590169943749475
0.55,8.0,0.0,0.0,0.0,0.0,0.0
0.6,8.0,0.0,0.0,0.0,0.0,0.0
0.65,8.0,0.0,0.0,0.0,0.0,0.0
0.7,8.0,0.0,0.0,0.0,0.0,0.0
0.75,8.0,0.0,0.0,0.0,0.0,0.0
0.8,8.0,0.0,0.0,0.0,0.0,0.0
0.85,8.0,0.0,0.0,0.0,0.0,0.0
0.9,8.0,0.0,0.0,0.0,0.0,0.0
0.95,8.0,0.0,0.0,0.0,0.0,0.0
