tau,SHD_mean,SHD_sd,FDR_mean,FDR_sd,TPR_mean,TPR_sd
0.05,65.6,59.42894917462365,0.9133597245666213,0.03163560876472781,0.18095238095238095,0.24605734633835832
0.1,64.8,60.10158067804873,0.8883597245666213,0.08076691480630385,0.18095238095238095,0.24605734633835832
0.15,29.0,7.615773105863909,0.5422222222222223,0.4961674100194733,0.047619047619047616,0.05832118435198043
0.2,29.0,7.615773105863909,0.5422222222222223,0.4961674100194733,0.047619047619047616,0.05832118435198043
0.25,22.0,1.0,0.47000000000000003,0.4522167621838006,0.02857142857142857,0.04259177099999599
0.3,22.0,1.0,0.47000000000000003,0.4522167621838006,0.02857142857142857,0.04259177099999599
0.35,21.2,0.4472135954999579,0.13333333333333333,0.29814239699997197,0.009523809523809523,0.021295885499997995
0.4,21.2,0.4472135954999579,0.13333333333333333,0.29814239699997197,0.009523809523809523,0.021295885499997995
0.45,21.2,0.4472135954999579,0.13333333333333333,0.29814239699997197,0.009523809523809523,0.021295885499997995
0.5,21.2,0.4472135954999579,0.13333333333333333,0.29814239699997197,0.009523809523809523,0.021295885499997995
0.55,21.0,0.0,0.0,0.0,0.0,0.0
0.6,21.0,0.0,0.0,0.0,0.0,0.0
0.65,21.0,0.0,0.0,0.0,0.0,0.0
0.7,21.0,0.0,0.0,0.0,0.0,0.0
0.75,21.0,0.0,0.0,0.0,0.0,0.0
0.8,21.0,0.0,0.0,0.0,0.0,0.0
0.85,21.0,0.0,0.0,0.0,0.0,0.0
0.9,21.0,0.0,0.0,0.0,0.0,0.0
0.95,21.0,0.0,0.0,0.0,0.0,0.0
