,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1e-04,0.43591073,0.19949643,0.17717028,0.06803275,0.15590349,0.016053906,0.02214125,0.03245865,0.011542235,0.11204926,0.12577227,0.051077604,0.11978106,0.03212146,0.1390402
1,0.020213053,1e-04,0.02110882,0.052255925,0.1432254,0.02290241,0.05236252,0.025811352,0.05327831,0.027628373,0.046791777,0.107952684,0.026179343,0.07254125,0.039404742,0.02276847
2,0.039647028,0.027675983,1e-04,0.15824538,0.022461405,0.09047355,0.017690701,3.8768492,0.031381916,0.08072098,0.045634653,0.042543255,0.02897099,0.31020662,0.032772083,0.025713544
3,0.030015104,2.643092,0.022632305,1e-04,0.046738263,0.010056588,0.04045208,0.031907987,0.14502038,0.020015392,0.021826185,0.044883676,0.018522216,0.10689549,0.011400615,0.27218547
4,0.01079872,0.037525326,0.06635486,0.057607513,1e-04,0.07443288,0.045892343,1.97671,4.00164,0.038191322,0.05310366,0.05579857,0.021024112,0.052206926,0.16647789,0.18748817
5,0.14442655,0.77450746,0.029040484,0.08210417,0.18130821,1e-04,0.07030729,0.08462183,0.41330966,0.1414113,1.0120422,0.11731607,0.091815874,0.026650665,0.04544821,3.0945063
6,0.010653756,0.11193041,0.059122253,0.08440943,0.092864126,0.02487946,1e-04,0.012398991,0.0375243,0.015330075,0.015872711,0.034348823,0.044352613,0.23011178,0.013087226,0.1619299
7,0.019750657,0.04867234,0.04572022,0.07600037,0.042201128,0.10340597,0.4665165,1e-04,0.05582237,0.01287569,0.011656101,0.1196345,0.022758318,0.09596911,0.0409589,0.017491726
8,0.06379645,0.04456609,0.059678935,0.36875317,0.09084229,0.04531647,0.089655876,0.05014249,1e-04,0.5962668,0.08225518,0.030681476,2.519201,0.080503516,0.04474758,0.024535038
9,0.018050894,1.5675639,0.04327403,0.052553218,0.06377791,0.050509933,0.05967237,0.071615264,0.03230367,1e-04,0.9274656,0.054116074,0.012034367,0.13530111,0.014122247,0.18020815
10,0.049280368,1.5398983,0.04711523,0.083357,0.02541703,0.10532753,0.020727687,0.06504625,0.09507021,0.69580543,1e-04,0.03352935,0.014080115,0.14383438,0.12061681,0.07990935
11,0.0131714875,3.7033648,0.06753724,0.15647373,0.09295915,0.041126832,0.033947773,0.17871815,0.24264659,0.202744,0.03355448,1e-04,0.045464735,0.076841414,0.04877616,0.3036479
12,0.020001734,0.021808922,0.015005231,2.1862185,3.1533473,0.016489916,0.038262673,0.019542985,0.67930055,0.026857749,3.6290777,0.03765392,1e-04,0.5327018,0.010825474,0.31892598
13,0.042925455,0.06560266,0.028327813,0.038164288,0.13060309,0.041782923,0.094132066,0.06400267,2.2836304,0.59099066,0.019290434,0.05315757,1.2678578,1e-04,2.649233,0.15788275
14,0.7102988,0.017364211,0.010030855,0.25757357,0.029673116,0.047706153,0.11669648,0.07037418,0.6983075,0.48032212,0.45724615,0.123345345,0.64462405,0.10383749,1e-04,0.06703418
15,0.050449513,0.025372615,0.020516476,0.019641597,0.026833396,0.09837718,0.15926896,0.07079732,0.031331178,0.12907375,0.12790343,0.07982118,0.011731412,0.076121315,0.01454086,1e-04
