,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1e-08,0.63163346,0.1149027,0.10671139,0.15713851,0.21401136,0.10748885,0.12683032,0.90049595,0.11533262,0.15030935,0.14307705,0.12663595,0.17676881,0.1189553,0.12382787
1,0.1043248,1e-08,0.11530488,0.18104054,0.13269882,0.103982,0.098104715,0.11970519,0.123291194,0.6988326,0.11381369,0.1527943,0.101435065,0.107131764,0.12043108,1.2918222
2,0.1153703,0.12528656,1e-08,0.29129615,1.1668351,0.10980836,0.11548228,0.15811677,0.10394432,0.11755665,0.16598962,0.14229421,0.6261857,0.10755041,0.11295183,0.12150005
3,0.110523805,0.105415605,0.13260192,1e-08,0.4872669,0.112983994,0.12757125,0.13294627,0.10774923,0.14209622,0.77142316,0.17579484,0.1191537,0.10829783,0.11248795,0.16118456
4,0.11249797,0.12934078,0.11233049,0.112321615,1e-08,0.14692347,0.1358264,0.14048623,0.11910957,0.13252418,0.15414256,0.2695299,0.134146,0.11971946,0.13009891,0.15302274
5,0.12361752,0.12928557,0.10327811,0.11693402,0.19445646,1e-08,0.10929712,0.15316212,0.12703487,0.12590295,0.12160268,0.1320667,0.11978786,1.2752745,0.14160341,0.11405934
6,0.11545773,0.11279428,0.11255748,0.10756018,0.13388503,0.133733,1e-08,0.1141252,0.10881819,0.11604792,0.10361955,0.12293003,0.12071712,0.12831934,0.39106473,0.11433941
7,0.12814881,0.12841201,0.11407638,0.12850563,0.15486977,0.12627125,0.11281664,1e-08,0.12037818,0.11246185,0.10995086,0.13060868,0.11391676,0.13635972,0.14232579,0.11359335
8,0.24691193,0.95180005,0.11428453,0.32365182,0.11937543,0.10710828,0.107895225,0.12063166,1e-08,0.15282793,0.1348068,0.1191312,0.19759886,0.12499812,0.10689153,1.2181101
9,0.120100565,0.103630014,0.81243515,0.20162277,0.17159623,0.11703744,0.11600351,0.15690029,0.13135049,1e-08,0.13167341,0.14356458,0.111313164,0.110602394,0.11451455,0.19893637
10,0.102441125,0.11991818,0.16611376,0.12601912,0.80739844,0.13484058,0.11456185,0.12977834,0.13601123,0.13395116,1e-08,0.63953817,0.11359649,0.110798396,0.12798867,0.10602197
11,0.10778911,0.1176838,0.11928735,0.111018725,0.23537771,0.5981214,0.13882984,0.12023492,0.11731762,0.14297508,0.12258362,1e-08,0.14435291,0.12583293,0.156222,0.114821956
12,0.10660492,0.10811322,0.12073505,0.1399073,0.15823637,0.10925447,0.42062217,0.11231934,0.10003964,0.10458421,0.14976837,0.1337351,1e-08,0.11423551,0.12088666,0.14202534
13,0.12769635,0.13716078,0.11391658,0.11672793,0.13044512,0.140382,0.10255843,0.20560753,0.10768807,0.12293107,0.11119814,0.13475014,0.12203385,1e-08,0.13197753,0.12456295
14,0.10254314,0.1107028,0.11471229,0.11206057,0.10582009,0.12500484,0.12442598,0.28297004,0.10540843,0.12644818,0.13914602,0.4166732,0.13609241,0.11673188,1e-08,0.1651753
15,0.1158098,0.12273775,0.12504798,1.0987085,0.11819273,0.122541904,0.11999093,0.12253684,0.12922406,0.21278574,0.13750185,0.12727234,0.10496086,0.115023255,0.10486607,1e-08
