,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1e-08,0.2682892,0.23611535,0.26451704,0.26017088,0.23826133,0.24147147,0.28474838,1.0848985,0.27059075,0.231027,0.23847558,0.23509787,0.24484111,0.24661951,0.26713318
1,0.24383424,1e-08,0.25990558,0.2455646,0.24345705,0.25555876,0.25272855,0.25653586,0.24571337,0.39344588,0.23760317,0.24669309,0.24593067,0.23334536,0.24323758,0.3154806
2,0.25847006,0.2540705,1e-08,0.25404444,1.0019227,0.24158388,0.26706722,0.24234122,0.2380803,0.26016733,0.23995477,0.27699494,0.60301924,0.27819327,0.2581159,0.26421255
3,0.23817077,0.25288743,0.24918953,1e-08,0.25701883,0.24798499,0.25131443,0.23742191,0.23698306,0.2563147,0.30343622,0.23622505,0.2673759,0.234774,0.2371213,0.25467235
4,0.24148646,0.252791,0.25969478,0.25406367,1e-08,0.25330293,0.24464034,0.23830459,0.2523015,0.24707913,0.24626803,0.3485376,0.4119733,0.25582537,0.24940145,0.25795102
5,0.25509578,0.23977219,0.2513441,0.24272652,0.24315271,1e-08,0.26168543,0.2534781,0.25458077,0.24366285,0.24395896,0.24278569,0.2473451,0.38104123,0.25029504,0.26016146
6,0.27623895,0.23751275,0.24164651,0.2662466,0.26155427,0.26189998,1e-08,0.25247273,0.24397898,0.24419342,0.23577997,0.26798075,0.23210602,0.2389022,0.27736938,0.2675582
7,0.27297825,0.24793743,0.25453523,0.27207646,0.2632642,0.25576094,0.24508636,1e-08,0.24169348,0.24520367,0.23901953,0.26228034,0.2538575,0.25152972,0.27558962,0.24364562
8,0.2476165,1.0217265,0.24953623,0.2500678,0.26444003,0.24213059,0.23865528,0.2667133,1e-08,0.30312783,0.24238802,0.23646118,0.23877233,0.23206127,0.2375128,0.3262705
9,0.2419936,0.27624872,0.3903327,0.25285146,0.27943847,0.23775306,0.2642683,0.24115075,0.23911081,1e-08,0.24407622,0.24924397,0.26772428,0.24192329,0.24927814,0.3300239
10,0.26711017,0.2432299,0.24125661,0.237615,0.6550572,0.23910968,0.230346,0.25166845,0.23960093,0.24947992,1e-08,0.23689723,0.23788439,0.2340951,0.22975063,0.24128519
11,0.24812312,0.24436815,0.27587298,0.24650384,0.2587244,0.5725044,0.26772708,0.25236318,0.24093714,0.24270922,0.24123977,1e-08,0.26651058,0.27219886,0.24184933,0.23765069
12,0.23479079,0.24096096,0.24048436,0.32066953,0.2716681,0.24687788,0.46989688,0.25476173,0.24254918,0.26478755,0.23761246,0.26506588,1e-08,0.25196815,0.25986913,0.27233332
13,0.25612783,0.23342042,0.23741663,0.25335538,0.25518355,0.23627028,0.271209,0.34236047,0.2406392,0.24850358,0.23857963,0.24007733,0.25824395,1e-08,0.25344828,0.24712065
14,0.2925012,0.24122708,0.24105436,0.23881836,0.24996829,0.27412888,0.23395942,0.4970279,0.25454882,0.23899241,0.23896143,0.2674145,0.24071701,0.23499975,1e-08,0.24080785
15,0.2567571,0.24881727,0.27417383,0.29849362,0.24689713,0.2448108,0.2601805,0.25302452,0.252606,0.29726866,0.24584194,0.27094373,0.25321645,0.2353731,0.25309893,1e-08
