,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1e-08,1.2543133,0.0870242,0.09696821,0.14387499,0.22911222,0.0893252,0.10030875,1.0433271,0.08610808,0.14030142,0.11673049,0.10982497,0.17493524,0.09304939,0.09972751
1,0.08786544,1e-08,0.098830305,0.17437826,0.11171283,0.097235054,0.09024326,0.099593684,0.09898579,0.97690815,0.09660676,0.13318086,0.08350175,0.08522804,0.09888042,1.2259293
2,0.08431472,0.09204663,1e-08,0.2654637,1.3822485,0.0865497,0.093834646,0.16458876,0.09021902,0.093676515,0.14974092,0.12519409,0.9169171,0.07880428,0.09114306,0.09545346
3,0.09152189,0.08819035,0.11612202,1e-08,0.61345357,0.088061735,0.11210385,0.09918103,0.09036818,0.12184274,1.145193,0.16868089,0.09427978,0.07993418,0.08687411,0.14040604
4,0.09404299,0.0999904,0.08773479,0.11051077,1e-08,0.12057732,0.11860653,0.12806225,0.09813967,0.10657865,0.13382472,0.31574336,0.095411696,0.08619715,0.12946615,0.13202073
5,0.100317046,0.09472866,0.08856345,0.09347299,0.16558707,1e-08,0.08910603,0.13633211,0.10394311,0.0955647,0.0944262,0.11400708,0.10717548,1.1048442,0.13224746,0.100724034
6,0.07605975,0.08547452,0.093102746,0.08278425,0.11030346,0.121502616,1e-08,0.09995017,0.08311671,0.08852848,0.08526648,0.11520265,0.10184951,0.097884804,0.84474766,0.09077542
7,0.10349336,0.09929593,0.09153265,0.101899765,0.10817146,0.102560565,0.09932126,1e-08,0.09540913,0.08948859,0.083701745,0.108405896,0.082273304,0.10668361,0.12235357,0.08657624
8,0.293983,0.6044127,0.09489496,0.331671,0.09702394,0.082856566,0.07867446,0.10572451,1e-08,0.14719293,0.113948956,0.092804305,0.20880756,0.09456241,0.10837798,1.1196417
9,0.09137373,0.08897537,0.9586181,0.1829381,0.15635516,0.09025667,0.09215121,0.12876305,0.099808514,1e-08,0.117510326,0.13858172,0.09720227,0.09365897,0.09245498,0.17315987
10,0.08826611,0.09398052,0.13442081,0.09499864,1.313986,0.118950695,0.09498621,0.11263646,0.10621804,0.12272409,1e-08,1.1013402,0.09471154,0.09486022,0.104033254,0.08985307
11,0.09147715,0.10175912,0.10126798,0.088760614,0.21182525,0.90549254,0.11472821,0.102860436,0.08999941,0.11368329,0.10369084,1e-08,0.11151911,0.09120769,0.12787664,0.08211909
12,0.0822381,0.07895556,0.08580737,0.12862717,0.13604131,0.089323,0.5873075,0.09674112,0.07772266,0.08107768,0.14368126,0.113430195,1e-08,0.088628374,0.10236673,0.11357038
13,0.10665578,0.10272856,0.09033016,0.10283965,0.11475161,0.12639147,0.08484561,0.2175942,0.08168543,0.09949819,0.087721,0.11227401,0.10215579,1e-08,0.11588752,0.09908934
14,0.084334776,0.09264246,0.08738557,0.0909453,0.09725511,0.11350175,0.10022487,0.34122467,0.08206446,0.1079202,0.12603964,0.47532624,0.11430547,0.09557927,1e-08,0.1490932
15,0.09762682,0.09778097,0.10020045,1.3059887,0.09675563,0.0907258,0.09804981,0.10396621,0.108468205,0.20963009,0.11492252,0.10183072,0.085943036,0.08726912,0.080411814,1e-08
